source_id,source_name,source_tier,citation,url,external_id,review_status,notes
SRC-0087,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/agoseris-grandiflora,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0088,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/collomia-grandiflora-large-flowered-collomia,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0089,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/geum-macrophyllum,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0090,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/lupinus-polyphyllus-ssp-pallidipes,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0091,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/hordeum-brachyantherum,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0092,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/harfords-melic-melica-harfordii,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0093,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/helenium-autumnale-var-grandiflorum,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0094,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/osmorhiza-berteroi,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0095,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/navarretia-squarrosa,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0096,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/bidens-cernua,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0097,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/allium-cernuum,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0098,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/olsynium-douglasii,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0099,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/carex-unilateralis,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0100,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/mitella-ovalis,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0101,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/sanicula-crassicaulis,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0102,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/oenanthe-sarmentosa,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0103,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/luzula-comosa,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0104,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/perideridia-gairdneri,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0105,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/plagiobothrys-scouleri,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0106,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/poa-secunda,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
